                                                           The SAS System                      09:37 Thursday, November 29, 2018   1

                                                         REPORTABLE_     mean_
                                         Obs    DOEID       DOMAIN       hdd65     CUFEETNG
                                         326    05167         2         6313.51        60  
                                         327    06846         2         6313.51         0  
                                         328    05851         2         6313.51         0  
                                         329    05410         2         6313.51         0  
                                         330    07304         2         6313.51         0  
                                                           The SAS System                      09:37 Thursday, November 29, 2018   7

                                                         REPORTABLE_     mean_
                                         Obs    DOEID       DOMAIN       hdd65     CUFEETNG

                                         331    07490         2         6313.51         0  
                                         332    06510         2         6313.51       396  
                                         333    05814         2         6313.51       559  
                                         334    07167         2         6313.51         0  
                                         335    06549         2         6313.51      1085  
                                         336    05757         2         6313.51       147  
                                         337    06517         2         6313.51      1600  
                                         338    05763         2         6313.51       732  
                                         339    10007         2         6313.51         0  
                                         340    09820         2         6313.51         0  
                                         341    09789         2         6313.51         0  
                                         342    09856         2         6313.51      1062  
                                         343    08549         2         6313.51         0  
                                         344    08597         2         6313.51         0  
                                         345    08968         2         6313.51      1018  
                                         346    09504         2         6313.51         0  
                                         347    09383         2         6313.51         0  
                                         348    09891         2         6313.51        37  
                                         349    07885         2         6313.51      1281  
                                         350    08551         2         6313.51       915  
                                         351    07814         2         6313.51        21  
                                         352    08100         2         6313.51         0  
                                         353    09945         2         6313.51         0  
                                         354    07744         2         6313.51       802  
                                         355    09164         2         6313.51         0  
                                         356    07667         2         6313.51         0  
                                         357    08964         2         6313.51      2458  
                                         358    08159         2         6313.51        43  
                                         359    08085         2         6313.51       781  
                                         360    08701         2         6313.51         0  
                                         361    08164         2         6313.51       160  
                                         362    09128         2         6313.51         0  
                                         363    09487         2         6313.51      1735  
                                         364    08026         2         6313.51      1179  
                                         365    08674         2         6313.51         0  
                                         366    08923         2         6313.51         0  
                                         367    08552         2         6313.51      2187  
                                         368    08514         2         6313.51        16  
                                         369    09713         2         6313.51       818  
                                         370    08346         2         6313.51         0  
                                         371    09863         2         6313.51         0  
                                         372    08424         2         6313.51      1844  
                                         373    08710         2         6313.51         0  
                                         374    08437         2         6313.51      1165  
                                         375    07901         2         6313.51       976  
                                         376    08639         2         6313.51         0  
                                         377    09362         2         6313.51         0  
                                         378    08208         2         6313.51         0  
                                         379    07827         2         6313.51       749  
                                         380    08981         2         6313.51       233  
                                         381    10009         2         6313.51      1612  
                                         382    09360         2         6313.51       758  
                                         383    09273         2         6313.51       783  
                                         384    09081         2         6313.51         0  
                                         385    10130         2         6313.51         0  
                                                           The SAS System                      09:37 Thursday, November 29, 2018   8

                                                         REPORTABLE_     mean_
                                         Obs    DOEID       DOMAIN       hdd65     CUFEETNG

                                         386    09690         2         6313.51         0  
                                         387    08184         2         6313.51         0  
                                         388    07660         2         6313.51      1436  
                                         389    07852         2         6313.51       773  
                                         390    10131         2         6313.51         0  
                                         391    08659         2         6313.51        47  
                                         392    07702         2         6313.51       824  
                                         393    08922         2         6313.51      1035  
                                         394    09575         2         6313.51         0  
                                         395    08506         2         6313.51         0  
                                         396    08305         2         6313.51         0  
                                         397    08290         2         6313.51      1054  
                                         398    08485         2         6313.51         0  
                                         399    00529         2         6313.51      1064  
                                         400    00180         2         6313.51       929  
                                         401    02214         2         6313.51      1101  
                                         402    01016         2         6313.51         0  
                                         403    00031         2         6313.51         0  
                                         404    01127         2         6313.51      2618  
                                         405    00560         2         6313.51         0  
                                         406    00322         2         6313.51      1033  
                                         407    00243         2         6313.51      1081  
                                         408    02047         2         6313.51       790  
                                         409    00655         2         6313.51      2027  
                                         410    01881         2         6313.51       842  
                                         411    00373         2         6313.51         0  
                                         412    00415         2         6313.51         0  
                                         413    02580         2         6313.51      1323  
                                         414    01604         2         6313.51         0  
                                         415    02481         2         6313.51         0  
                                         416    00672         2         6313.51         0  
                                         417    01857         2         6313.51      1026  
                                         418    00809         2         6313.51         0  
                                         419    00646         2         6313.51         0  
                                         420    00746         2         6313.51         0  
                                         421    00364         2         6313.51         0  
                                         422    01347         2         6313.51       348  
                                         423    00868         2         6313.51         0  
